ContextID,District,Dom_NonDom,GroupID,Lat,LocName,Location,Long,Municipality,Province,Survey,Year
2,Sekhukhune,Domestic LR,21,-24.56,Garagapola,2000 Garagapola,30.16,Greater Tubatse/Fetakgomo,LIM,Eskom LR,2000
2,John Taolo Gaetsewe,Domestic LR,23,-27.11,Gasese,2000 Gasese,23.05,Joe Morolong,NC,Eskom LR,2000
2,Sisonke,Domestic LR,25,-30.09,Antioch,2000 Antioch,29.81,Umzimkhulu,KZN,Eskom LR,2000
2,Sekhukhune,Domestic LR,20,-24.92,Makipsvlei,2000 Makipsvlei,29.04,Ephraim Mogale,LIM,Eskom LR,2000
2,Chris Hani,Domestic LR,22,-32.13,Tambo,2000 Tambo,26.81,Enoch Mgijima,EC,Eskom LR,2000
2,O.R.Tambo,Domestic LR,24,-31.19,Qumbu,2000 Qumbu,28.87,Mhlontlo,EC,Eskom LR,2000
2,Capricorn,Domestic LR,28,-24.16,Mafefe,2000 Mafefe,30.1,Lepele-Nkumpi,LIM,Eskom LR,2000
4,Chris Hani,Domestic LR,77,-32.13,Tambo,1999 Tambo,26.81,Enoch Mgijima,EC,Eskom LR,1999
4,Sekhukhune,Domestic LR,79,-24.92,Makipsvlei,1999 Makipsvlei,29.04,Ephraim Mogale,LIM,Eskom LR,1999
4,Sisonke,Domestic LR,81,-30.09,Antioch,1999 Antioch,29.81,Umzimkhulu,KZN,Eskom LR,1999
4,John Taolo Gaetsewe,Domestic LR,83,-27.11,Gasese,1999 Gasese,23.05,Joe Morolong,NC,Eskom LR,1999
4,Capricorn,Domestic LR,84,-24.16,Mafefe,1999 Mafefe,30.1,Lepele-Nkumpi,LIM,Eskom LR,1999
4,O.R.Tambo,Domestic LR,78,-31.19,Qumbu,1999 Qumbu,28.87,Mhlontlo,EC,Eskom LR,1999
4,City of Johannesburg,Domestic LR,80,-25.994387,Ivory Park,1999 Ivory Park,28.197012,City of Johannesburg,GP,Eskom LR,1999
4,Sekhukhune,Domestic LR,82,-24.56,Garagapola,1999 Garagapola,30.16,Greater Tubatse/Fetakgomo,LIM,Eskom LR,1999
4,City of Johannesburg,Domestic LR,57,-25.994387,Ivory Park,1998 Ivory Park,28.197012,City of Johannesburg,GP,Eskom LR,1998
4,Capricorn,Domestic LR,58,-24.16,Mafefe,1998 Mafefe,30.1,Lepele-Nkumpi,LIM,Eskom LR,1998
4,Sekhukhune,Domestic LR,59,-24.92,Makipsvlei,1998 Makipsvlei,29.04,Ephraim Mogale,LIM,Eskom LR,1998
4,Chris Hani,Domestic LR,61,-32.13,Tambo,1998 Tambo,26.81,Enoch Mgijima,EC,Eskom LR,1998
4,Sekhukhune,Domestic LR,60,-24.92,Makipsvlei,1997 Makipsvlei,29.04,Ephraim Mogale,LIM,Eskom LR,1997
4,Chris Hani,Domestic LR,62,-32.13,Tambo,1997 Tambo,26.81,Enoch Mgijima,EC,Eskom LR,1997
0,,Domestic LR,1000100,,Group,New Group,,,,Eskom LR,1997
0,,Domestic LR,1000101,,Group,New Group,,,,Eskom LR,1997
2,John Taolo Gaetsewe,Domestic LR,101,-27.11,Gasese,2001 Gasese,23.05,Joe Morolong,NC,Eskom LR,2001
2,Chris Hani,Domestic LR,103,-32.13,Tambo,2001 Tambo,26.81,Enoch Mgijima,EC,Eskom LR,2001
2,Sekhukhune,Domestic LR,98,-24.56,Garagapola,2001 Garagapola,30.16,Greater Tubatse/Fetakgomo,LIM,Eskom LR,2001
2,Sisonke,Domestic LR,100,-30.09,Antioch,2001 Antioch,29.81,Umzimkhulu,KZN,Eskom LR,2001
2,Capricorn,Domestic LR,102,-24.16,Mafefe,2001 Mafefe,30.1,Lepele-Nkumpi,LIM,Eskom LR,2001
2,Ugu,Domestic LR,104,-30.55,Mfazazane,2001 Mfazazane,30.55,Ray Nkonyeni,KZN,Eskom LR,2001
2,Sekhukhune,Domestic LR,114,-24.56,Garagapola,2002 Garagapola,30.16,Greater Tubatse/Fetakgomo,LIM,Eskom LR,2002
2,Capricorn,Domestic LR,116,-24.16,Mafefe,2002 Mafefe,30.1,Lepele-Nkumpi,LIM,Eskom LR,2002
2,Chris Hani,Domestic LR,118,-32.13,Tambo,2002 Tambo,26.81,Enoch Mgijima,EC,Eskom LR,2002
2,Uthungulu,Domestic LR,2000002,-28.75,Matshana,2002 Matshana,31.85,uMhlathuze,KZN,Eskom LR,2002
2,Umgungundlovu,Domestic LR,2000003,-29.57,Maconqo,2002 Maconqo,30.55,Mkhambathini,KZN,Eskom LR,2002
2,Mangaung,Domestic LR,1000005,-28.73,Ikgomotseng,2002 Ikgomotseng,26.1,Mangaung,FS,Eskom LR,2002
2,Sisonke,Domestic LR,113,-30.09,Antioch,2002 Antioch,29.81,Umzimkhulu,KZN,Eskom LR,2002
2,John Taolo Gaetsewe,Domestic LR,115,-27.11,Gasese,2002 Gasese,23.05,Joe Morolong,NC,Eskom LR,2002
2,Ugu,Domestic LR,117,-30.55,Mfazazane,2002 Mfazazane,30.55,Ray Nkonyeni,KZN,Eskom LR,2002
2,Sisonke,Domestic LR,1000007,-30.09,Antioch,2003 Antioch,29.81,Umzimkhulu,KZN,Eskom LR,2003
2,Sekhukhune,Domestic LR,1000008,-24.56,Garagapola,2003 Garagapola,30.16,Greater Tubatse/Fetakgomo,LIM,Eskom LR,2003
2,John Taolo Gaetsewe,Domestic LR,1000009,-27.11,Gasese,2003 Gasese,23.05,Joe Morolong,NC,Eskom LR,2003
2,Mangaung,Domestic LR,1000010,-28.73,Ikgomotseng,2003 Ikgomotseng,26.1,Mangaung,FS,Eskom LR,2003
2,Umgungundlovu,Domestic LR,1000011,-29.57,Maconqo,2003 Maconqo,30.55,Mkhambathini,KZN,Eskom LR,2003
2,Uthungulu,Domestic LR,1000012,-28.75,Matshana,2003 Matshana,31.85,uMhlathuze,KZN,Eskom LR,2003
2,Ugu,Domestic LR,1000013,-30.55,Mfazazane,2003 Mfazazane,30.55,Ray Nkonyeni,KZN,Eskom LR,2003
2,Chris Hani,Domestic LR,1000014,-32.13,Tambo,2003 Tambo,26.81,Enoch Mgijima,EC,Eskom LR,2003
2,Uthungulu,Domestic LR,1000022,-28.75,Matshana,2004 Matshana,31.85,uMhlathuze,KZN,Eskom LR,2004
2,Nkangala,Domestic LR,1000026,-25.33,Vlaklaagte,2004 Vlaklaagte,28.87,Thembisile,MP,Eskom LR,2004
2,City of Cape Town,Domestic LR,1000027,-34.04,Khayalitsha,2004 Khayalitsha,18.69,City of Cape Town,WC,Eskom LR,2004
1000004,Cacadu,Domestic LR,1000113,-33.824081,Hankey,2012 Hankey,24.871931,Kouga,EC,Eskom LR,2012
